"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","External wall construction","Flat roof construction","Glazing type","Partition construction",
"129","3","3-Non optimal","10556.55","1337.60830323866","22262.775","FLYASH + INSULATION","RRC SLAB","GLAZING-7","Partation Wall-Red Brick",
"130","3","3-Non optimal","7185","589.641924086132","13495.260","AAC BRICK","RCC+INSULATION+TILE","GLAZING-9","Partation Wall-Flyash",
"131","3","3-Non optimal","6893.54","581.328954287604","12873.506","AAC + INSULATION","RCC+INSULATION","GLAZING-6","Partation AAC Wall",
"132","3","3-Non optimal","10049.62","1332.80467888424","20560.717","CONCRETE BRICK","RCC + FOAM CONCRETE","GLAZING-6","Partation Wall-Red Brick",
"133","3","3-Non optimal","7392.77","634.848437468113","14013.666","AAC BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"134","3","3-Non optimal","10550.91","1361.85538423846","22195.499","AAC + INSULATION","RRC SLAB","GLAZING-2","Partation Wall-Flyash",
"135","3","3-Non optimal","11085.34","1464.57347855512","23408.572","RED BRICK","RRC SLAB","GLAZING-7","Partation AAC Wall",
"136","3","3-Non optimal","6773.51","546.055411688303","12610.431","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-3","Partation Wall-Red Brick",
"137","3","3-Non optimal","8275.53","830.302940407179","16327.003","FLYASH BRICK","RCC+INSULATION","GLAZING-4","Partation AAC Wall",
"138","3","3-Non optimal","9883.74","1124.64596420446","20465.290","RED BRICK","RCC + FOAM CONCRETE","GLAZING-1","Partation AAC Wall",
"139","3","3-Non optimal","8387.67","849.921184659995","16645.501","FLYASH BRICK","RCC+INSULATION","GLAZING-8","Partation Wall-Red Brick",
"140","3","3-Non optimal","7381.17","582.342758117389","14234.301","FLYASH + INSULATION","RCC+INSULATION","GLAZING-5","Partation Wall-Red Brick",
"141","3","3-Non optimal","7245.4","589.862952046411","13865.367","FLYASH + INSULATION","RCC+INSULATION","GLAZING-4","Partation Wall-Flyash",
"142","3","3-Non optimal","7028.58","578.931668049984","13274.115","FLYASH + INSULATION","RCC+INSULATION","GLAZING-10","Partation AAC Wall",
"143","3","3-Non optimal","11504.83","1432.94758643271","24808.587","AAC + INSULATION","RCC+ MARABLE","GLAZING-2","Partation Wall-Red Brick",
"144","3","3-Non optimal","8331.85","848.319457098103","16490.402","FLYASH BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"145","3","3-Non optimal","11131.37","1446.77458946492","23569.373","RED BRICK","RRC SLAB","GLAZING-10","Partation Wall-Flyash",
"146","3","3-Non optimal","7200.94","576.856923277864","13722.617","FLYASH + INSULATION","RCC+INSULATION","GLAZING-8","Partation AAC Wall",
"147","3","3-Non optimal","7252.19","581.728483987785","13897.465","FLYASH + INSULATION","RCC+INSULATION","GLAZING-8","Partation Wall-Flyash",
"148","3","3-Non optimal","6777.86","534.521199866879","12620.955","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-10","Partation AAC Wall",
"149","3","3-Non optimal","12173.62","1611.60219509348","25999.181","CONCRETE BRICK","RCC+ MARABLE","GLAZING-2","Partation Wall-Red Brick",
"150","3","3-Non optimal","7216.84","590.115920537376","13783.166","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"151","3","3-Non optimal","8205.66","858.05362748158","16006.884","HOLLOW BRICK","RCC+INSULATION","GLAZING-9","Partation AAC Wall",
"152","3","3-Non optimal","8379.03","860.653083637933","16595.450","RED BRICK","RCC+INSULATION","GLAZING-4","Partation AAC Wall",
"153","3","3-Non optimal","6901.24","576.900159041597","12914.563","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-6","Partation AAC Wall",
"154","3","3-Non optimal","12140.94","1601.73805835887","25936.648","CONCRETE BRICK","RCC+ MARABLE","GLAZING-9","Partation Wall-Flyash",
"155","3","3-Non optimal","6945.09","538.445372308443","13043.416","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-4","Partation AAC Wall",
"156","3","3-Non optimal","8182.4","875.427013745755","15963.985","HOLLOW BRICK","RCC+INSULATION","GLAZING-7","Partation Wall-Red Brick",
"157","3","3-Non optimal","12166.4","1607.43674885588","25994.043","CONCRETE BRICK","RCC+ MARABLE","GLAZING-4","Partation Wall-Red Brick",
"158","3","3-Non optimal","7547.53","671.240481728265","14379.290","AAC BRICK","RCC+INSULATION","GLAZING-1","Partation AAC Wall",
"159","3","3-Non optimal","7359.42","628.997528696256","13901.754","AAC BRICK","RCC+INSULATION","GLAZING-4","Partation AAC Wall",
"160","3","3-Non optimal","12078.68","1604.17343497997","25772.397","CONCRETE BRICK","RCC+ MARABLE","GLAZING-7","Partation Wall-Flyash",
"161","4","3-Non optimal","11367.59","1393.64276643435","24471.261","FLYASH + INSULATION","RCC+ MARABLE","GLAZING-10","Partation AAC Wall",
"162","4","3-Non optimal","8870.2","905.790973491976","18008.400","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-2","Partation AAC Wall",
"163","4","3-Non optimal","11925.33","1508.95415673741","25555.053","HOLLOW BRICK","RCC+ MARABLE","GLAZING-4","Partation AAC Wall",
"164","4","3-Non optimal","7249.15","584.799970661736","13626.636","AAC BRICK","RCC+INSULATION+TILE","GLAZING-5","Partation AAC Wall",
"165","4","3-Non optimal","10656.01","1347.53833222486","22514.211","FLYASH + INSULATION","RRC SLAB","GLAZING-4","Partation Wall-Red Brick",
"166","4","3-Non optimal","7122.9","542.344097225966","13542.919","AAC + INSULATION","RCC+INSULATION","GLAZING-5","Partation Wall-Flyash",
"167","4","3-Non optimal","7321.39","630.609763765683","13791.914","AAC BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation AAC Wall",
"168","4","3-Non optimal","10475.49","1375.33721749807","21956.740","AAC + INSULATION","RRC SLAB","GLAZING-2","Partation AAC Wall",
"169","4","3-Non optimal","11199.98","1473.92249652625","23604.843","HOLLOW BRICK","RRC SLAB","GLAZING-8","Partation Wall-Red Brick",
"170","4","3-Non optimal","8811.84","842.596973342235","17909.435","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-10","Partation AAC Wall",
"171","4","3-Non optimal","8380","853.799028791414","16617.919","FLYASH BRICK","RCC+INSULATION","GLAZING-4","Partation Wall-Red Brick",
"172","4","3-Non optimal","8383.91","881.34719918557","16620.023","FLYASH BRICK","RCC+INSULATION","GLAZING-3","Partation Wall-Flyash",
"173","4","3-Non optimal","6957.18","548.141105753172","13091.223","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"174","4","3-Non optimal","6821.98","491.164431488793","12714.320","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-5","Partation AAC Wall",
"175","4","3-Non optimal","8379.51","848.320385123632","16624.474","FLYASH BRICK","RCC+INSULATION","GLAZING-8","Partation Wall-Flyash",
"176","4","3-Non optimal","7446.57","623.067716245069","14383.492","FLYASH + INSULATION","RCC+INSULATION","GLAZING-1","Partation Wall-Flyash",
"177","4","3-Non optimal","7320.68","578.88913920442","14033.446","FLYASH + INSULATION","RCC+INSULATION","GLAZING-5","Partation AAC Wall",
"178","4","3-Non optimal","10593.24","1383.02730481603","22066.432","AAC BRICK","RRC SLAB","GLAZING-6","Partation AAC Wall",
"179","4","3-Non optimal","7102.95","585.974558136736","13495.839","FLYASH + INSULATION","RCC+INSULATION","GLAZING-7","Partation Wall-Red Brick",
"180","4","3-Non optimal","8467.76","1071.91833443445","16514.710","CONCRETE BRICK","RCC+INSULATION+TILE","GLAZING-10","Partation Wall-Flyash",
"181","4","3-Non optimal","8371.92","860.912836291913","16565.182","FLYASH BRICK","RCC+INSULATION","GLAZING-2","Partation AAC Wall",
"182","4","3-Non optimal","7456.55","623.301941459733","14405.382","FLYASH + INSULATION","RCC+INSULATION","GLAZING-1","Partation Wall-Red Brick",
"183","4","3-Non optimal","7249.43","589.936907415752","13876.591","FLYASH + INSULATION","RCC+INSULATION","GLAZING-4","Partation Wall-Red Brick",
