"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"107","2","3-Non optimal","11440.21","1458.62770965723","24418.792","35","0","Layout 3x3-10-1M","OVERHANG -4 - SDEFINS","50",
"108","2","3-Non optimal","11372.97","1479.51138962787","24212.306","35","180","Layout 3x5-10-0.8M","OVERHANG -2","70",
"109","2","3-Non optimal","11369.75","1449.65097537308","24210.855","25","90","Layout 3x5-10-0.6M","OVERHANG -2","60",
"110","2","3-Non optimal","11511.87","1489.05123254234","24575.709","30","180","Layout 5x6-10-0.6M","OVERHANG -1","60",
"111","2","3-Non optimal","11358.15","1443.98881964108","24209.255","35","270","Layout 6x4-10-0.6M","OVERHANG -2","80",
"112","2","3-Non optimal","11319.75","1452.53597053863","24064.315","15","90","Layout 5x4-10-0.6M","OVERHANG -3 SIDEFINS","50",
"113","2","3-Non optimal","11527.42","1460.19454141525","24652.773","30","270","Layout 5x6-10-1M","OVERHANG -1","70",
"114","2","3-Non optimal","11280.88","1446.74014834817","23965.785","40","90","Layout 5x6-10-0.8M","OVERHANG -4 - SDEFINS","60",
"115","2","3-Non optimal","11386.27","1477.60850697366","24243.850","15","180","Layout 6x3-10-0.8M","OVERHANG -1","60",
"116","2","3-Non optimal","11415.9","1448.41296410828","24364.145","20","270","Layout 4x6-10-0.1M","OVERHANG -2","60",
"117","2","3-Non optimal","11441.16","1445.09687974862","24445.805","10","270","Layout 3x3-10-0.6M","OVERHANG -2","80",
"118","2","3-Non optimal","11519.36","1454.11961180295","24607.385","15","90","Layout 5x6-10-0.6M","OVERHANG -1","50",
"119","2","3-Non optimal","11658.63","1474.4824389099","24992.927","15","270","Layout 3x4-10-0.6M","No shading","50",
"120","2","3-Non optimal","11259.23","1473.34716627593","23911.531","45","180","Layout 5x5-10-0.6M","OVERHANG -2","70",
"121","2","3-Non optimal","11446.72","1458.46833752071","24437.704","45","0","Layout 4x3-10-0.8M","OVERHANG -4 - SDEFINS","50",
"122","2","3-Non optimal","11372.63","1481.37349770856","24206.638","25","180","Layout 3x6-10-0.8M","OVERHANG -2","50",
